Page,Image Path,Content,Table
25,uploads/images\toaz.info-7fb10-30-vol-2\page_25.png,"3.14 ps system scpu board cn140 connector: for software writing and not connected cn141 connector basic conditions (battery plug on, key switch on) (translated to ko)","[{'Connector No.↔ Connector No.': 'CN141-1\n(SSTXA)', 'Conditions': 'Immeasurable', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN141-2\n(SXTSA)', 'Conditions': 'Immeasurable', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN141-3\n(309, SSTMA)', 'Conditions': 'Immeasurable', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN141-4\n(307, SMTSA)', 'Conditions': 'Immeasurable', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN141-5\n(324, SS+)\nCN141-15\n(325, SS-)', 'Conditions': 'Traveling stopped\nBattery plug OFF and traveling stopped\nBattery plug OFF and traveling stopped', 'Standard': '0 V\n0 V, 620 Ω', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN141-6\n(312, STS1)', 'Conditions': 'Immeasurable', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN141-7\n(313, STS2)', 'Conditions': 'Immeasurable', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN141-8\n(314, STSC)', 'Conditions': 'Immeasurable', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN141-9\n(SSTXK)', 'Conditions': 'Immeasurable', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN141-10\n(SXTSK)', 'Conditions': 'Immeasurable', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN141-11\n(310, SSTMK)', 'Conditions': 'Immeasurable', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN141-12\n(308, SMTSK)', 'Conditions': 'Immeasurable', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN141-13\n(138, SL-L)\nCN141-16\n(315, STS+)', 'Conditions': '', 'Standard': 'Approx. 5 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN141-14\n(137, SL-L+)\nCN141-16\n(315, STS+)', 'Conditions': '', 'Standard': 'Approx. 5 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN141-15\n(325, SS-)\nCN146-6\n(312, STS1)', 'Conditions': 'Traveling stopped', 'Standard': 'Approx. 2.5 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN141-16\n(315, STS+)\nCN146-6\n(312, STS1)', 'Conditions': '', 'Standard': '0 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN141-17\n(311, STS+)\nCN141-16\n(315, STS+)', 'Conditions': '', 'Standard': 'Approx. 15 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN141-18', 'Conditions': 'Unused', 'Standard': '-', 'Remarks': ''}]"
26,uploads/images\toaz.info-7fb10-30-vol-2\page_26.png, (translated to ko),[]
27,uploads/images\toaz.info-7fb10-30-vol-2\page_27.png, (translated to ko),"[{'Connector No.↔ Connector No.': 'CN146-1 (PS15V)', 'Conditions': '', 'Standard': '', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN146-2 (44, VBMB) | CN146-6 (353, GNDSC)', 'Conditions': 'Key switch OFF', 'Standard': 'Approx. 48 V (Approx. 80 V)', 'Remarks': '1-2 ton series (3-3.5 ton)'}, {'Connector No.↔ Connector No.': 'CN146-3 (350, PS20V) | CN146-4 (351, GNDPS)', 'Conditions': 'Immeasurable', 'Standard': 'Approx. 21 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN146-4 (351, GNDPS)', 'Conditions': '', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN146-5 (352, SC15V) | CN146-6 (353, GNDSC)', 'Conditions': '', 'Standard': 'Approx. 15 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN146-6 (353, GNDSC) | CN146-7 (N1, N1)', 'Conditions': '', 'Standard': '0 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN146-7 (331, DPSOL+)', 'Conditions': 'Immeasurable', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN146-8 (332, DPSOL-)', 'Conditions': 'Immeasurable', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN146-9 (333, CHSOLS)', 'Conditions': 'Immeasurable', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN146-10 (334, CHSOLST)', 'Conditions': 'Immeasurable', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN146-11 (335, SCSOLS) | CN146-6 (353, GNDSC)', 'Conditions': '', 'Standard': '0 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN146-12 (336, SCSOLST) | CN146-6 (353, GNDSC)', 'Conditions': '', 'Standard': 'Approx. 15 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN146-13 (337, PESOL) | CN146-6 (353, GNDSC)', 'Conditions': '', 'Standard': 'Approx. 15 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN146-14', 'Conditions': 'Unused', 'Standard': '', 'Remarks': ''}]"
28,uploads/images\toaz.info-7fb10-30-vol-2\page_28.png,"dc/sd board cn147 connector basic conditions (battery plug on, key switch on) (translated to ko)","[{'Connector No.↔ Connector No.': 'CN147.1', 'Conditions': 'Unused', 'Standard': '-', 'Remarks': '-'}, {'Connector No.↔ Connector No.': 'CN147.2 (44, VBMB)\nCN147.6 (353, GNDSC)', 'Conditions': 'Key switch ON', 'Standard': 'Approx. 48 V\n(Approx. 80 V)', 'Remarks': '12-ton series\n(3 ton, J3.5 ton)'}, {'Connector No.↔ Connector No.': 'CN147.3 (350, PSCOV)\nCN147.4 (351, GNDPS)', 'Conditions': 'Immeasurable', 'Standard': 'Approx. 21 V', 'Remarks': '-'}, {'Connector No.↔ Connector No.': 'CN147.4 (351, GNDPS)', 'Conditions': '-', 'Standard': '-', 'Remarks': '-'}, {'Connector No.↔ Connector No.': 'CN147.5 (352, SCOV)\nCN147.6 (353, GNDSC)', 'Conditions': '-', 'Standard': 'Approx. 15 V', 'Remarks': '-'}, {'Connector No.↔ Connector No.': 'CN147.6 (353, GNDSC)\nCN147.7 (331, DRSCL+)', 'Conditions': '-', 'Standard': '0 V', 'Remarks': '-'}, {'Connector No.↔ Connector No.': 'CN147.7 (331, DRSCL+)', 'Conditions': 'Immeasurable', 'Standard': '-', 'Remarks': '-'}, {'Connector No.↔ Connector No.': 'CN147.8 (332, DRSCL-)', 'Conditions': 'Immeasurable', 'Standard': '-', 'Remarks': '-'}, {'Connector No.↔ Connector No.': 'CN147.9 (333, CKSOLS)\nCN147.6 (353, GNDSC)', 'Conditions': '-', 'Standard': '-', 'Remarks': '-'}, {'Connector No.↔ Connector No.': 'CN147.10 (334, CKSOLST)\nCN147.6 (353, GNDSC)', 'Conditions': '-', 'Standard': '-', 'Remarks': '-'}, {'Connector No.↔ Connector No.': 'CN147.11 (335, SGSOLS)\nCN147.6 (353, GNDSC)', 'Conditions': '-', 'Standard': '-', 'Remarks': '-'}, {'Connector No.↔ Connector No.': 'CN147.12 (336, SGSOLST)\nCN147.6 (353, GNDSC)', 'Conditions': '-', 'Standard': 'Approx. 15 V', 'Remarks': '-'}, {'Connector No.↔ Connector No.': 'CN147.13 (337, RESOL)\nCN147.6 (353, GNDSC)', 'Conditions': '-', 'Standard': 'Approx. 15 V', 'Remarks': '-'}, {'Connector No.↔ Connector No.': 'CN147.14 (CKT-G)', 'Conditions': 'Unused', 'Standard': '-', 'Remarks': '-'}]"
29,uploads/images\toaz.info-7fb10-30-vol-2\page_29.png, (translated to ko),[]
30,uploads/images\toaz.info-7fb10-30-vol-2\page_30.png,multi-display functions (translated to ko),"[{'Section': 'GENERAL', 'Page': '4-2'}, {'Section': 'ABBREVIATIONS INDICATED ON PLUG-IN ANALYZER MULTI-DISPLAY', 'Page': '4-3'}, {'Section': 'LED DISPLAY', 'Page': '4-4'}, {'Section': 'GENERAL', 'Page': '4-4'}, {'Section': 'DIAGNOSIS FUNCTION', 'Page': '4-5'}, {'Section': 'DIAGNOSIS CODE LIST', 'Page': '4-6'}, {'Section': 'PLUG-IN ANALYZER (SST)', 'Page': '4-11'}, {'Section': 'ANALYZER', 'Page': '4-17'}, {'Section': 'MULTI-SCREEN, MULTI-DISPLAY (OPTION)', 'Page': '4-34'}, {'Section': 'GENERAL', 'Page': '4-34'}, {'Section': 'DIAGNOSIS', 'Page': '4-43'}, {'Section': 'MASK FUNCTIONS', 'Page': '4-47'}, {'Section': 'PASSWORD', 'Page': '4-49'}, {'Section': 'ANALYZER', 'Page': '4-51'}]"
32,uploads/images\toaz.info-7fb10-30-vol-2\page_32.png, (translated to ko),"[{'Abbreviation': 'ACPT', 'Meaning': 'Analog input voltage'}, {'Abbreviation': 'CR', 'Meaning': 'Controller'}, {'Abbreviation': 'CSNT', 'Meaning': 'Battery current'}, {'Abbreviation': 'DM', 'Meaning': 'Drive motor'}, {'Abbreviation': 'DSF', 'Meaning': 'Forward direction switch'}, {'Abbreviation': 'DSR', 'Meaning': 'Reverse direction switch'}, {'Abbreviation': 'FANM', 'Meaning': 'Traveling system fan'}, {'Abbreviation': 'FANP', 'Meaning': 'Material handling system fan'}, {'Abbreviation': 'HM', 'Meaning': 'Hour meter'}, {'Abbreviation': 'K-DIFF', 'Meaning': 'Deviation of steering angle knob position'}, {'Abbreviation': 'K-POS', 'Meaning': 'Steering angle knob position'}, {'Abbreviation': 'KSOL', 'Meaning': 'Knob position correcting solenoid'}, {'Abbreviation': 'LOAD', 'Meaning': 'Material handling hydraulic pressure'}, {'Abbreviation': 'LSAT1', 'Meaning': 'Attachment switch No.1'}, {'Abbreviation': 'LSAT2', 'Meaning': 'Attachment switch No.2'}, {'Abbreviation': 'LSB', 'Meaning': 'Brake switch'}, {'Abbreviation': 'LSD', 'Meaning': 'Deadman seat switch'}, {'Abbreviation': 'LSL', 'Meaning': 'Lift switch'}, {'Abbreviation': 'LSOPT1', 'Meaning': 'Option limit switch No.1'}, {'Abbreviation': 'LSOPT2', 'Meaning': 'Option limit switch No.2'}, {'Abbreviation': 'LSTF', 'Meaning': 'Forward tilt switch'}, {'Abbreviation': 'LSTR', 'Meaning': 'Backward tilt switch'}, {'Abbreviation': 'MH', 'Meaning': 'Lifting height switch'}, {'Abbreviation': 'PC', 'Meaning': 'Power control'}, {'Abbreviation': 'PM', 'Meaning': 'Pump motor'}, {'Abbreviation': 'POTA', 'Meaning': 'Accelerator potentiometer'}, {'Abbreviation': 'POTT', 'Meaning': 'Tilt angle potentiometer'}, {'Abbreviation': 'SPDM', 'Meaning': 'Main vehicle speed'}, {'Abbreviation': 'SPDS', 'Meaning': 'PS vehicle speed'}, {'Abbreviation': 'SPL', 'Meaning': 'Load sensor'}, {'Abbreviation': 'SS1', 'Meaning': 'Steering angle sensor'}, {'Abbreviation': 'SSC', 'Meaning': 'Steering angle sensor'}, {'Abbreviation': 'SSD1', 'Meaning': 'Traveling motor rpm sensor (1)'}, {'Abbreviation': 'SSD2', 'Meaning': 'Traveling motor rpm sensor (2)'}, {'Abbreviation': 'SSOL', 'Meaning': 'Swing solenoid'}, {'Abbreviation': 'SSP', 'Meaning': 'Pump motor rpm pulse sensor'}, {'Abbreviation': 'STS', 'Meaning': 'Steering angle sensor'}, {'Abbreviation': 'STS1', 'Meaning': 'Steering angle sensor No.1'}, {'Abbreviation': 'STS2', 'Meaning': 'Steering angle sensor No.2'}, {'Abbreviation': 'STSC', 'Meaning': 'Steering angle sensor for straight traveling'}, {'Abbreviation': 'SWAC', 'Meaning': 'Accelerator switch'}, {'Abbreviation': 'SWG', 'Meaning': 'Swing angle sensor'}, {'Abbreviation': 'SWTK', 'Meaning': 'Tilt knob switch'}, {'Abbreviation': 'TD', 'Meaning': 'Drive motor temperature'}, {'Abbreviation': 'TEMP', 'Meaning': 'Temperature on CPU board'}, {'Abbreviation': 'THCD', 'Meaning': 'Main inverting circuit temperature'}, {'Abbreviation': 'THCP', 'Meaning': 'Main load handling circuit temperature'}, {'Abbreviation': 'TILT', 'Meaning': 'Tilt neutral position'}, {'Abbreviation': 'TIRE', 'Meaning': 'Tire angle sensor voltage'}, {'Abbreviation': 'TP', 'Meaning': 'Material handling pump motor temperature'}, {'Abbreviation': 'VBB1', 'Meaning': 'Battery voltage'}, {'Abbreviation': 'VBMB', 'Meaning': 'Main battery input voltage'}, {'Abbreviation': 'VBKY', 'Meaning': 'Voltage after key switch'}, {'Abbreviation': 'YAW', 'Meaning': 'Yaw rate sensor voltage'}]"
33,uploads/images\toaz.info-7fb10-30-vol-2\page_33.png,"led display general the led display has two main functions: battery charge indication and diagnostic display. it acts as the battery charge indicator while the vehicle is operating normally. when an error occurs in the vehicle electrical system, it is automatically switched to diagnostic display to warn the operator of an error and make the controller automatically control traveling and material handling to ensure safety. battery charge indication and alarm functions 1. the led display appearance and the function of each led are as illustrated. 2. the battery charge is indicated by on/off of each led as listed below. 3. upon key switch on, all leds come on for 2 seconds to enable defective led check. it forms the charge indicator after the initial lighting (battery charge). if any abnormality is found, the display indicates the diagnostic result (which will be explained later). 4. the number of lighting leds decreases as the battery charge drops. when the discharge level decreases to the set level (at setting approx. 80% of full capacity), the discharge lamp on the display is lit to warn the operator of the low level status. 5. when the battery charge drops further from the discharge alarm level to another the set level (initial setting: approx. 90% of full capacity), material handling during traveling is disabled. (translated to ko)","[{'Battery discharge level': '0-19%', 'LED indication (O: ON, X: OFF)': 'O O O O O O', 'Discharge lamp': '', 'Material handling restriction': ''}, {'Battery discharge level': '20-34%', 'LED indication (O: ON, X: OFF)': 'O O O O O X', 'Discharge lamp': 'X', 'Material handling restriction': 'X'}, {'Battery discharge level': '35-49%', 'LED indication (O: ON, X: OFF)': 'O O O O X X', 'Discharge lamp': 'X', 'Material handling restriction': 'X'}, {'Battery discharge level': '50-64%', 'LED indication (O: ON, X: OFF)': 'O O O X X X', 'Discharge lamp': 'X', 'Material handling restriction': 'X'}, {'Battery discharge level': '65-79%', 'LED indication (O: ON, X: OFF)': 'O O X X X X', 'Discharge lamp': 'X', 'Material handling restriction': 'X'}, {'Battery discharge level': '80-89%', 'LED indication (O: ON, X: OFF)': 'O X X X X X', 'Discharge lamp': 'O*', 'Material handling restriction': 'X'}, {'Battery discharge level': '90-99%', 'LED indication (O: ON, X: OFF)': 'X X X X X X', 'Discharge lamp': 'O', 'Material handling restriction': 'ON*'}, {'Battery discharge level': '100%', 'LED indication (O: ON, X: OFF)': 'X X X X X X', 'Discharge lamp': 'O', 'Material handling restriction': 'ON'}]"
35,uploads/images\toaz.info-7fb10-30-vol-2\page_35.png, (translated to ko),"[{'LED display indication': 'Image of LED display', 'Diag memory*': '65-2', 'Faulty position': 'PS circuit', 'Error mode': 'PS contactor defect', 'Phenomenon on vehicle': 'PS not operable'}, {'LED display indication': 'Image of LED display', 'Diag memory*': '67-1', 'Faulty position': '', 'Error mode': 'Mode switch defect', 'Phenomenon on vehicle': 'Fixed to S mode and not variable'}, {'LED display indication': 'Image of LED display', 'Diag memory*': 'A0-1', 'Faulty position': 'Main traveling circuit', 'Error mode': 'Overheat', 'Phenomenon on vehicle': 'Drive output restriction'}, {'LED display indication': 'Image of LED display', 'Diag memory*': 'A0-2', 'Faulty position': 'Main load handling circuit', 'Error mode': 'Overheat', 'Phenomenon on vehicle': 'Material handling output restriction'}, {'LED display indication': 'Image of LED display', 'Diag memory*': 'A0-4', 'Faulty position': 'Traveling system fan', 'Error mode': 'Fan defect signal', 'Phenomenon on vehicle': 'Drive output restriction'}, {'LED display indication': 'Image of LED display', 'Diag memory*': 'A0-5', 'Faulty position': 'Material handling system fan', 'Error mode': 'Fan defect signal', 'Phenomenon on vehicle': 'Material handling output restriction'}, {'LED display indication': 'Image of LED display', 'Diag memory*': 'A1', 'Faulty position': 'Controller', 'Error mode': 'High controller voltage', 'Phenomenon on vehicle': 'Both traveling and material handling disabled'}, {'LED display indication': 'Image of LED display', 'Diag memory*': 'A2', 'Faulty position': 'CPU board', 'Error mode': 'Overheat', 'Phenomenon on vehicle': 'Drive output restriction'}, {'LED display indication': 'Image of LED display', 'Diag memory*': 'A3-1', 'Faulty position': 'Battery power supply', 'Error mode': 'Incorrect battery connection (CHG)', 'Phenomenon on vehicle': 'MB not closed.'}, {'LED display indication': 'Image of LED display', 'Diag memory*': 'A3-2', 'Faulty position': 'Battery power supply', 'Error mode': 'Incorrect battery connection (wrong voltage)', 'Phenomenon on vehicle': 'MB not closed.'}, {'LED display indication': 'Image of LED display', 'Diag memory*': 'A4', 'Faulty position': 'Accelerator switch', 'Error mode': 'Switch defect', 'Phenomenon on vehicle': 'Traveling disabled.'}]"
36,uploads/images\toaz.info-7fb10-30-vol-2\page_36.png, (translated to ko),"[{'LED display indication': '', 'Diag memory*': 'A6-1', 'Faulty position': 'Material handling limit switch', 'Error mode': 'LSL1 defect', 'Phenomenon on vehicle': 'Material handling disabled.'}, {'LED display indication': '', 'Diag memory*': 'A6-3', 'Faulty position': 'Material handling limit switch', 'Error mode': 'LSTF, LSTR defect', 'Phenomenon on vehicle': 'Material handling disabled.'}, {'LED display indication': '', 'Diag memory*': 'A6-5', 'Faulty position': 'Material handling limit switch', 'Error mode': 'LSAT1 defect', 'Phenomenon on vehicle': 'Material handling disabled.'}, {'LED display indication': '', 'Diag memory*': 'A6-6', 'Faulty position': 'Material handling limit switch', 'Error mode': 'LSAT2 defect', 'Phenomenon on vehicle': 'Material handling disabled.'}, {'LED display indication': '', 'Diag memory*': 'A8', 'Faulty position': 'Traveling and material handling fuse', 'Error mode': 'Blown fuse (F1)', 'Phenomenon on vehicle': 'Indication only'}, {'LED display indication': '', 'Diag memory*': 'AA', 'Faulty position': 'CPU board', 'Error mode': 'Temperature sensor defect', 'Phenomenon on vehicle': 'Indication only'}, {'LED display indication': '', 'Diag memory*': 'AF-1\nAF-2\nAF-3', 'Faulty position': 'CPU board', 'Error mode': 'CPU board defect', 'Phenomenon on vehicle': 'Both traveling and material handling disabled'}, {'LED display indication': '', 'Diag memory*': 'AF-4', 'Faulty position': 'CPU board', 'Error mode': 'CPU board defect', 'Phenomenon on vehicle': 'Both traveling and material handling disabled'}, {'LED display indication': '', 'Diag memory*': 'C0-1', 'Faulty position': 'Main traveling circuit', 'Error mode': 'Main circuit defect', 'Phenomenon on vehicle': 'Traveling disabled'}, {'LED display indication': '', 'Diag memory*': 'C0-3\nC0-4', 'Faulty position': 'Drive circuit', 'Error mode': 'Driving power supply defect\nDriving circuit defect', 'Phenomenon on vehicle': 'Traveling disabled'}, {'LED display indication': '', 'Diag memory*': 'C1', 'Faulty position': 'Drive current sensor', 'Error mode': 'Sensor defect', 'Phenomenon on vehicle': 'Traveling disabled'}, {'LED display indication': '', 'Diag memory*': 'C2-1', 'Faulty position': 'Drive motor', 'Error mode': 'Motor overheat', 'Phenomenon on vehicle': 'Limited drive output'}, {'LED display indication': '', 'Diag memory*': 'C2-2', 'Faulty position': 'Drive motor temperature sensor', 'Error mode': 'Temperature sensor defect', 'Phenomenon on vehicle': 'Limited drive output'}]"
37,uploads/images\toaz.info-7fb10-30-vol-2\page_37.png, (translated to ko),"[{'LED display indication': 'C3', 'Diag memory*': '', 'Faulty position': 'Main drive circuit temperature sensor', 'Error mode': 'Temperature sensor defect', 'Phenomenon on vehicle': 'Limited drive output'}, {'LED display indication': 'C4-1', 'Diag memory*': '', 'Faulty position': 'Accelerator potentiometer', 'Error mode': 'Accelerator potentiometer defect', 'Phenomenon on vehicle': 'Traveling disabled'}, {'LED display indication': 'C4-2', 'Diag memory*': '', 'Faulty position': '', 'Error mode': '', 'Phenomenon on vehicle': 'No traveling is allowed. Traveling disabled'}, {'LED display indication': 'C4-3', 'Diag memory*': '', 'Faulty position': '', 'Error mode': '', 'Phenomenon on vehicle': 'Traveling disabled'}, {'LED display indication': 'C4-4', 'Diag memory*': '', 'Faulty position': '', 'Error mode': '', 'Phenomenon on vehicle': 'Maximum speed not attained'}, {'LED display indication': 'C7', 'Diag memory*': '', 'Faulty position': 'Direction switch', 'Error mode': 'Switch defect', 'Phenomenon on vehicle': 'Traveling disabled'}, {'LED display indication': 'C8-1', 'Diag memory*': '', 'Faulty position': 'Drive rpm sensor', 'Error mode': 'Rpm sensor (1) defect', 'Phenomenon on vehicle': 'Traveling disabled, but enabled by turning the key switch OFF and then ON'}, {'LED display indication': 'C8-2', 'Diag memory*': '', 'Faulty position': 'Drive rpm sensor', 'Error mode': 'Rpm sensor (2) defect', 'Phenomenon on vehicle': ''}, {'LED display indication': 'CB-1', 'Diag memory*': '', 'Faulty position': '', 'Error mode': 'MB defect', 'Phenomenon on vehicle': 'Indication only'}, {'LED display indication': 'CB-2', 'Diag memory*': '', 'Faulty position': '', 'Error mode': 'Fused MB', 'Phenomenon on vehicle': 'Indication only'}, {'LED display indication': 'E0-1', 'Diag memory*': '', 'Faulty position': 'Main material handling circuit', 'Error mode': 'Main load handling circuit defect', 'Phenomenon on vehicle': 'Material handling disabled'}, {'LED display indication': 'E0-3', 'Diag memory*': '', 'Faulty position': 'Material handling power supply', 'Error mode': 'Material handling power supply defect', 'Phenomenon on vehicle': ''}, {'LED display indication': 'E0-4', 'Diag memory*': '', 'Faulty position': 'Material handling circuit', 'Error mode': 'Material handling circuit defect', 'Phenomenon on vehicle': ''}, {'LED display indication': 'E1', 'Diag memory*': '', 'Faulty position': 'Material handling current sensor', 'Error mode': 'Current sensor defect', 'Phenomenon on vehicle': 'Material handling disabled'}, {'LED display indication': 'E2-1', 'Diag memory*': '', 'Faulty position': 'Material handling motor', 'Error mode': 'Motor overheat', 'Phenomenon on vehicle': 'Material handling output restriction'}, {'LED display indication': 'E2-2', 'Diag memory*': '', 'Faulty position': 'Material handling motor temperature sensor', 'Error mode': 'Temperature sensor defect', 'Phenomenon on vehicle': 'Material handling output restriction'}]"
38,uploads/images\toaz.info-7fb10-30-vol-2\page_38.png,"hour meter 1. an hour meter is standard equipment on all vehicles. while a round hour meter is equipped on standard vehicles (with led display), the function is included in the lcd display on vehicles with the optional lcd. 2. the hour meter starts upon key switch on. the minimum unit of indication is 0.1 hour. 3. since the hour meter is not activated at the time of shipment from the factory, connect cn41 hour meter starting connector before starting operation at each customer. note: connection of the hour meter has nothing to do with the controller functions (lift interrupt for example). (translated to ko)","[{'LED display indication': '', 'Diag memory': 'E3', 'Faulty position': 'Main material handling circuit temperature sensor', 'Error mode': 'Temperature sensor defect', 'Phenomenon on vehicle': 'Material handling output restriction'}, {'LED display indication': '', 'Diag memory': 'E8', 'Faulty position': 'Material handling pump rpm sensor', 'Error mode': 'Rpm sensor defect', 'Phenomenon on vehicle': 'Material handling disabled'}, {'LED display indication': 'EF-1', 'Diag memory': '', 'Faulty position': 'EEP-ROM', 'Error mode': 'EEP-ROM', 'Phenomenon on vehicle': 'Operation at default setting'}, {'LED display indication': 'EF-2', 'Diag memory': '', 'Faulty position': 'CPU', 'Error mode': 'CPU defect', 'Phenomenon on vehicle': 'Indication only'}, {'LED display indication': 'EF-3', 'Diag memory': '', 'Faulty position': 'Parking brake OFF alarm', 'Error mode': 'When the operator leaves the vehicle without applying the parking brake', 'Phenomenon on vehicle': 'Traveling, material handling and EPS stop. (Beep only)'}, {'LED display indication': '(Flashing)', 'Diag memory': '-', 'Faulty position': 'Return to neutral', 'Error mode': 'When accelerator switch is on. When accelerator switch and direction switch is ON.', 'Phenomenon on vehicle': 'No travel *1'}, {'LED display indication': '', 'Diag memory': '', 'Faulty position': 'Warning for parking brake non return', 'Error mode': 'When parking brake switch is OFF while travel.', 'Phenomenon on vehicle': '(Beep only) *1'}]"
39,uploads/images\toaz.info-7fb10-30-vol-2\page_39.png,lift interrupt function and cancellation procedure the lift interrupt function is enabled at the time of shipment from the factory to disable material handling during traveling. cancel the lift interrupt function as follows for vehicle demonstration or according to the request from a user. (translated to ko),[]
40,uploads/images\toaz.info-7fb10-30-vol-2\page_40.png,"plug-in analyzer (sst) general 1. for a standard vehicle with an led display, use the sst plug-in analyzer to indicate the status of each electrical system operation such as traveling, material handling, eps or acceleration, to read the information on errors detected by the controller, and to perform tuning to set vehicle functions. 2. the plug-in analyzer enables quick, easy servicing and vehicle tuning to match customer needs. 3. the plug-in analyzer supports the operator in checking the control system and troubleshooting through communication with the traveling/material handling controller. 4. the plug-in analyzer functions for the electrical system are the same as those on the vehicle with the lcd display (option). note: the plug-in analyzer, however, cannot check sas functions. (translated to ko)","[{'Function': 'ANALYZER', 'Description': 'Indicating electrical system status and reading information on errors detected by controllers', 'Vehicle delivery': '-', 'Board replacement': '-', 'Others': 'Upon vehicle defect detection'}, {'Function': 'TUNING', 'Description': 'Fine adjustment of traveling and load handling functions', 'Vehicle delivery': '-', 'Board replacement': 'O *1', 'Others': 'As requested by the customer'}, {'Function': 'OPTION SET', 'Description': 'Setting for a Japanese battery or a locally purchased battery', 'Vehicle delivery': '-', 'Board replacement': 'O *1', 'Others': '-'}]"
41,uploads/images\toaz.info-7fb10-30-vol-2\page_41.png, (translated to ko),"[{'ANALYZER': 'DIAG MEMORY', 'Description': 'Checking past diagnostic results in memory'}, {'ANALYZER': 'I/O MONITOR1', 'Description': 'Checking temperatures and voltages of functional components'}, {'ANALYZER': 'I/O MONITOR2', 'Description': 'Checking ON/OFF of traveling switches'}, {'ANALYZER': 'I/O MONITOR3', 'Description': 'Checking ON/OFF of material handling and mast control switches'}, {'ANALYZER': 'I/O MONITOR4', 'Description': 'Checking ON/OFF of other (attachment) switches'}, {'ANALYZER': 'ACTIVE TEST', 'Description': 'Test switches by forcible ON/OFF operations'}, {'TUNING': 'NO.1', 'Description': 'Setting regenerative braking torque (switch back)'}, {'TUNING': 'NO.2', 'Description': 'Setting regenerative braking torque (accelerator off)'}, {'TUNING': 'NO.3', 'Description': 'Lift interrupt level setting *1'}, {'TUNING': 'NO.4', 'Description': 'Correction battery charge indication'}, {'TUNING': 'NO.5', 'Description': 'Maximum speed limiter'}, {'TUNING': 'NO.6', 'Description': 'Setting pump motor rpm upon attachment switch ON'}, {'TUNING': 'NO.7', 'Description': 'Setting pump motor rpm upon tilt switch ON'}, {'TUNING': 'NO.8', 'Description': 'Spare'}, {'TUNING': 'NO.9', 'Description': 'Spare'}, {'TUNING': 'NO.10', 'Description': 'Spare'}, {'TUNING': 'NO.11', 'Description': 'Spare'}, {'TUNING': 'NO.12', 'Description': 'Spare'}, {'OPTION SET': 'NO.1', 'Description': 'Selecting calculation for battery charge indication (selection of battery setting)'}, {'OPTION SET': 'NO.2', 'Description': 'Spare'}, {'OPTION SET': 'NO.3', 'Description': 'Spare'}, {'OPTION SET': 'NO.4', 'Description': 'Spare'}, {'OPTION SET': 'NO.5', 'Description': 'Spare'}, {'OPTION SET': 'NO.6', 'Description': 'Spare'}, {'OPTION SET': 'NO.7', 'Description': 'Spare'}, {'TESTER SET': 'CONTRAST SET', 'Description': 'Adjusting LCD contrast'}, {'TESTER SET': 'LANGUAGE SET', 'Description': 'Unused *2'}]"
42,uploads/images\toaz.info-7fb10-30-vol-2\page_42.png, (translated to ko),"[{'Terminal No.': '(1) — (13)', 'Standard voltage': 'Approx. 15 V'}, {'Terminal No.': '(7) — (13)', 'Standard voltage': 'Approx. 5 V'}, {'Terminal No.': '(8) — (13)', 'Standard voltage': 'Approx. 5 V'}, {'Terminal No.': '(17) — (13)', 'Standard voltage': 'Approx. 0 V'}, {'Terminal No.': '(18) — (13)', 'Standard voltage': 'Approx. 0 V'}]"
